transaction_id,timestamp,amount,transaction_type,location,client_credit_score,transaction_frequency,customer_age,annual_income,account_balance,num_previous_loans,customer_tenure,num_dependents,education_level,marital_status,housing_type,fraud
49,2023-01-12 21:59:00,147.745808128282,transferencia,Region_C,428,3,22,48997.606944702464,63172.71816133622,8,4,1,2,viudo,propia,0
50,2023-01-29 11:14:00,54.11258813330638,solicitud_credito,Region_C,798,4,71,43664.41344608202,74581.47835589033,6,20,3,1,soltero,otro,0
51,2023-01-11 02:21:00,137.99399707100258,solicitud_credito,Region_D,575,0,84,49104.68986079133,65303.694743502136,7,26,5,4,casado,otro,0
52,2023-01-25 22:40:00,325.28109424901317,pago,Region_C,382,2,85,58213.96423206079,82883.8083906911,5,29,6,1,casado,familiar,0
53,2023-01-19 10:11:00,61.428002770093784,pago,Region_C,417,2,29,55910.52717230134,59441.59849158495,4,25,1,2,casado,propia,0
54,2023-01-02 02:25:00,27.236948279287287,retiro,Region_B,328,2,23,75927.7275756136,305.51106093963386,6,4,2,1,soltero,propia,0
55,2023-01-03 17:43:00,284.4153470456596,pago,Region_C,657,1,55,50848.12816098564,13614.711370701327,3,1,1,2,viudo,otro,0
56,2023-01-17 14:59:00,92.56955401740349,pago,Region_A,456,6,47,45188.2647034649,86718.66057895115,9,5,1,4,viudo,propia,0
57,2023-01-14 12:17:00,11.122787553203297,pago,Region_B,330,5,54,51549.66826455827,12782.35501644156,4,4,1,2,casado,propia,0
58,2023-01-01 17:01:00,85.02287214999927,pago,Region_A,585,3,42,62931.05340754945,61959.414882704375,5,17,1,3,viudo,familiar,0
59,2023-01-09 02:13:00,69.43096348447969,retiro,Region_D,635,0,61,90719.42848006124,20600.195118339616,8,30,1,1,divorciado,familiar,0
60,2023-01-10 07:37:00,193.5091144646849,pago,Region_C,612,4,77,56681.799119014686,96046.72023032022,1,9,1,2,soltero,familiar,0
61,2023-01-29 07:17:00,75.65028064229183,transferencia,Region_A,422,3,31,53664.411918393234,22536.217208018406,6,12,1,4,viudo,familiar,0
62,2023-01-07 17:32:00,29.468310169076855,transferencia,Region_C,670,2,84,70987.68034704882,36186.21230470892,4,28,2,1,soltero,otro,0
63,2023-01-05 18:33:00,112.59137978561644,retiro,Region_A,613,3,85,40636.557658451246,77372.93712586106,9,17,1,4,casado,propia,0
64,2023-01-04 22:35:00,78.21433314429879,pago,Region_B,327,2,53,48107.49419286832,65812.42489879075,1,0,2,4,viudo,alquilada,0
65,2023-01-01 02:41:00,26.532666479256207,transferencia,Region_D,454,3,42,56110.92102038816,32161.95443258044,1,14,0,4,viudo,alquilada,0
66,2023-01-26 17:45:00,85.24427411515327,solicitud_credito,Region_A,529,5,25,34018.78366090194,69797.54451203914,1,1,3,1,divorciado,alquilada,0
67,2023-01-19 10:37:00,172.33660135371045,transferencia,Region_B,848,6,42,22863.747331952527,97992.53228044859,7,18,4,4,divorciado,propia,0
68,2023-01-24 10:43:00,2.8987011001048364,pago,Region_D,305,0,53,62367.38072675948,14496.565507809122,2,15,2,3,viudo,otro,0
69,2023-01-23 15:26:00,99.6555027093576,transferencia,Region_A,772,2,47,30421.43132711616,24043.678469660255,5,27,3,3,viudo,familiar,0
70,2023-01-09 00:14:00,43.01449592984657,solicitud_credito,Region_A,617,2,77,69453.16477569778,44904.99336051513,6,9,1,4,viudo,alquilada,0
71,2023-01-21 05:27:00,34.62600049922031,transferencia,Region_B,524,3,62,127850.29045477898,31343.985863889146,5,1,0,1,divorciado,familiar,0
72,2023-01-29 01:17:00,49.854755923948915,pago,Region_D,332,1,64,46717.02418704313,31686.215651252634,6,24,1,2,divorciado,propia,0
73,2023-01-18 22:51:00,41.85847923959018,solicitud_credito,Region_D,388,3,67,14554.205764466853,42903.70623568453,3,20,3,3,viudo,propia,0
74,2023-01-01 16:56:00,178.52155675841087,retiro,Region_B,633,7,86,58394.83403783036,78968.07849385147,7,0,2,1,divorciado,otro,0
75,2023-01-17 20:13:00,32.13047813082874,solicitud_credito,Region_C,339,2,59,59922.5832930877,35697.87521355976,4,0,1,2,divorciado,alquilada,0
76,2023-01-17 20:36:00,132.10799051274586,transferencia,Region_B,674,4,67,60497.656860246796,25678.156371998728,0,29,4,1,casado,alquilada,0
77,2023-01-17 03:27:00,9.878200186139068,retiro,Region_D,597,3,24,65915.65558278277,55083.540154528586,10,6,5,2,viudo,familiar,0
78,2023-01-17 21:00:00,302.405711062277,solicitud_credito,Region_B,692,1,21,14763.163162136108,87167.21826134884,3,22,1,2,soltero,alquilada,0
79,2023-01-06 22:09:00,97.36990990783627,solicitud_credito,Region_C,317,6,71,24839.695253315876,69946.04738190414,0,30,3,1,casado,alquilada,0
80,2023-01-12 23:42:00,122.66226430359006,solicitud_credito,Region_B,826,0,62,23538.924397181563,34012.87753531462,5,30,3,3,casado,propia,0
81,2023-01-07 10:28:00,35.3877905150562,pago,Region_B,431,2,5,41962.18088629126,97216.42268466535,5,8,2,2,casado,propia,0
82,2023-01-15 18:31:00,53.1192577067937,retiro,Region_A,589,4,78,32402.06903414872,69081.281289539,2,8,2,1,soltero,propia,0
83,2023-01-09 11:05:00,25.33172148681169,retiro,Region_C,508,5,62,56819.91737804152,13826.652470986723,9,8,1,4,divorciado,otro,0
84,2023-01-15 18:03:00,269.61624285329685,solicitud_credito,Region_D,626,1,20,49583.6254161421,694581.637873185,5,1,0,3,casado,alquilada,0
85,2023-01-28 03:39:00,66.96346729979797,retiro,Region_C,802,1,64,58746.10159651222,90580.57117050317,10,3,2,1,viudo,familiar,0
86,2023-01-06 22:51:00,99.54641307464898,transferencia,Region_D,578,3,66,60088.94470567098,47299.26361698993,6,29,2,3,casado,alquilada,0
87,2023-01-28 18:16:00,132.52821646534963,transferencia,Region_D,681,5,20,9884.35880614446,72943.25610390177,3,6,6,1,soltero,alquilada,1
88,2023-01-27 10:04:00,46.37927028024302,solicitud_credito,Region_A,608,2,20,67152.03471026763,15078.903703011925,6,0,0,1,soltero,alquilada,0
89,2023-01-29 07:34:00,127.33287936576974,transferencia,Region_C,576,0,21,42090.36768265329,11059.42857846205,9,30,2,1,divorciado,otro,0
90,2023-01-02 18:48:00,112.6988583694072,solicitud_credito,Region_A,375,2,5,68504.99309297717,62802.07890676727,9,16,1,1,casado,propia,0
91,2023-01-02 09:47:00,122.30174541310663,transferencia,Region_B,597,3,52,19780.555082264767,40033.60875139398,0,8,0,1,soltero,otro,0
92,2023-01-02 20:55:00,67.18356925680102,solicitud_credito,Region_C,677,3,70,61548.44988329704,45936.56816460078,8,28,1,3,soltero,alquilada,0
93,2023-01-04 15:38:00,48.27847728544729,solicitud_credito,Region_B,732,3,33,51615.05049894888,30741.835074448532,9,4,1,1,soltero,alquilada,0
94,2023-01-16 06:42:00,25.113440075553473,retiro,Region_C,411,1,68,80717.11901126808,45561.29613924714,2,17,3,1,viudo,otro,0
95,2023-01-28 10:24:00,174.08364543505914,retiro,Region_D,371,1,43,53224.955583181734,9903.837394263926,5,10,3,1,casado,propia,0
96,2023-01-24 00:39:00,93.73868139782383,solicitud_credito,Region_B,616,3,55,68496.35416776633,10798.441080708742,8,9,2,1,divorciado,otro,0
97,2023-01-10 17:06:00,58.76206316618913,retiro,Region_C,320,4,85,16631.535018193572,44416.567006536854,1,8,2,4,divorciado,familiar,0
98,2023-01-09 19:06:00,288.23304964648895,retiro,Region_C,487,5,51,50263.1467539724,45311.888157904,2,5,5,3,casado,familiar,0
99,2023-01-27 20:20:00,4.902094392942315,pago,Region_B,420,3,38,34305.63045463394,87141.63841438715,6,12,3,3,casado,familiar,0
100,2023-01-03 11:21:00,189.82669437587919,transferencia,Region_A,641,1,58,42926.25122636558,33037.205521307165,9,14,4,1,viudo,propia,0
101,2023-01-19 15:34:00,602.5059778520673,retiro,Region_C,603,3,76,48194.73892844232,67686.01191404425,6,4,0,1,viudo,propia,0
102,2023-01-28 01:12:00,217.9855298375123,solicitud_credito,Region_A,746,3,20,34440.80034818526,30311.523850283895,6,2,3,1,casado,propia,0
103,2023-01-16 17:42:00,166.30316698885267,pago,Region_A,795,4,73,62325.138437484384,30787.483430960692,8,10,2,3,casado,alquilada,0
104,2023-01-06 19:52:00,46.88938347456463,pago,Region_A,820,3,79,67988.51384475699,70884.59074048666,4,18,4,2,viudo,familiar,0
105,2023-01-22 04:55:00,26.307295246850277,retiro,Region_A,484,3,35,30582.645627740298,56202.57631966847,9,7,2,1,casado,propia,0
106,2023-01-10 01:47:00,132.74615384392092,solicitud_credito,Region_A,631,2,32,54709.84279133921,37292.64235429971,10,21,2,1,viudo,propia,0
107,2023-01-17 09:19:00,36.32326362344732,solicitud_credito,Region_D,649,1,83,12623.34285930424,48331.01478314372,6,22,5,2,casado,otro,0
108,2023-01-25 11:02:00,19.36329081873584,solicitud_credito,Region_A,619,4,47,69102.82258967063,84443.03287797331,6,30,1,4,soltero,otro,0
109,2023-01-09 05:17:00,154.42397047356482,solicitud_credito,Region_D,836,7,56,51508.505659702205,74590.24971227263,9,0,3,4,casado,alquilada,0
110,2023-01-10 17:59:00,37.47569456197554,solicitud_credito,Region_C,711,4,81,48040.33637638146,93464.5581047186,8,21,3,1,soltero,otro,0
111,2023-01-22 09:38:00,245.85576087092403,transferencia,Region_D,455,5,74,82779.1414691814,87687.1848922497,6,13,4,4,casado,familiar,0
112,2023-01-14 06:35:00,183.6543331712474,solicitud_credito,Region_D,832,6,120,56228.99019436067,66954.11110738026,3,12,4,1,casado,otro,0
113,2023-01-08 14:45:00,188.15113000759308,solicitud_credito,Region_A,801,4,24,105107.06482171279,19004.428924378935,5,11,2,4,soltero,propia,0
114,2023-01-18 00:58:00,147.6524262067283,transferencia,Region_C,785,2,89,28167.047354316273,36194.1060275827,5,13,3,1,viudo,familiar,0
115,2023-01-30 12:50:00,212.76358431185182,retiro,Region_C,453,3,40,90819.02422835688,55462.35914466812,1,11,2,2,casado,alquilada,0
116,2023-01-04 12:16:00,163.85932907793276,pago,Region_C,367,1,23,66553.41254069255,3383.4176951701324,3,18,2,2,viudo,otro,0
117,2023-01-23 13:22:00,92.25889329057642,transferencia,Region_B,791,1,75,44821.05386597614,68126.64087656653,7,8,2,4,soltero,familiar,0
118,2023-01-06 15:10:00,35.07251343292612,pago,Region_D,340,3,31,72736.34216421234,98004.52217742089,0,4,1,2,viudo,otro,0
119,2023-01-10 13:33:00,219.11259507490155,pago,Region_A,826,3,45,29977.682136815238,82752.6516868382,7,20,2,4,casado,otro,0
120,2023-01-19 22:26:00,183.63612404450998,transferencia,Region_B,468,3,22,74002.09548942621,68787.97205869005,6,22,3,2,divorciado,propia,0
121,2023-01-13 02:12:00,64.03257665421911,solicitud_credito,Region_A,411,4,85,48700.188339798755,67789.21795812706,6,28,3,1,divorciado,familiar,0
122,2023-01-24 02:30:00,3.986275265857526,pago,Region_B,762,0,73,50576.541795061305,89703.40239806326,5,7,3,3,soltero,propia,0
123,2023-01-05 19:10:00,101.76142057008333,solicitud_credito,Region_C,351,4,42,25063.327801560416,31032.39748485681,20,2,0,2,soltero,familiar,0
124,2023-01-18 16:06:00,5.192175885796257,retiro,Region_B,554,6,44,73334.95568981975,44665.37732031055,5,11,0,3,viudo,propia,0
125,2023-01-01 03:26:00,260.7480628660399,transferencia,Region_C,457,2,77,59208.33517004153,66037.317834202,0,30,4,2,soltero,otro,0
126,2023-01-15 22:38:00,326.05121254630427,pago,Region_B,599,8,21,61784.932214975546,57268.09165506677,0,3,5,1,soltero,alquilada,0
127,2023-01-16 12:41:00,21.00917798292404,solicitud_credito,Region_A,726,1,46,22317.12815449893,84410.50268015853,10,16,1,4,casado,otro,0
128,2023-01-17 06:19:00,112.82142700315308,pago,Region_A,606,4,24,45707.30305168345,36627.12944091756,20,25,5,2,viudo,otro,0
129,2023-01-29 20:03:00,9.680720480634168,retiro,Region_B,398,3,49,49044.561272621206,41628.07359938641,4,16,2,4,divorciado,familiar,0
130,2023-01-16 13:23:00,130.7545765179374,retiro,Region_D,420,3,37,23735.68355266301,24923.814891933183,8,7,5,3,viudo,alquilada,0
131,2023-01-13 14:21:00,42.6618776863575,pago,Region_D,329,5,81,64102.03025830757,63857.81325465748,4,27,1,2,divorciado,familiar,0
132,2023-01-11 07:00:00,114.27212786013207,transferencia,Region_B,529,3,60,68635.32638609997,39030.47324659737,2,27,3,4,casado,otro,0
133,2023-01-29 00:22:00,46.66118027218601,retiro,Region_D,553,2,47,21011.53059918907,54860.39481478404,4,20,4,2,casado,familiar,0
134,2023-01-05 10:14:00,15.731778461863403,solicitud_credito,Region_A,703,3,77,49368.813715008815,6057.8365926245,10,29,3,2,soltero,alquilada,0
135,2023-01-02 03:58:00,52.10611291235151,retiro,Region_D,793,3,45,67490.2124725564,70438.74263268306,1,29,1,4,viudo,familiar,0
136,2023-01-24 11:47:00,11.954229971845127,solicitud_credito,Region_B,330,2,57,84587.10269796514,53259.83964489297,5,22,3,4,viudo,alquilada,0
137,2023-01-12 05:58:00,86.01071923208868,pago,Region_D,461,2,84,66456.7362660883,74222.97736504867,10,29,5,2,casado,otro,0
138,2023-01-07 21:14:00,4.181366538568616,solicitud_credito,Region_B,731,2,5,29912.42334337881,25002.20905450372,10,21,2,2,viudo,alquilada,1
139,2023-01-20 08:50:00,74.93359743742407,pago,Region_A,455,3,76,31620.734364094693,85547.96442067018,9,25,1,4,soltero,otro,0
140,2023-01-16 11:39:00,217.47958168971087,retiro,Region_C,622,6,37,55530.03398103179,87076.67316023888,6,12,2,3,soltero,propia,0
141,2023-01-30 13:17:00,181.93769663599724,transferencia,Region_A,490,5,80,64222.8562815084,43707.28782413723,10,6,1,3,divorciado,otro,0
142,2023-01-02 20:53:00,214.3717267497228,retiro,Region_A,475,2,90,49952.20078792037,9525.713065970864,20,9,2,1,soltero,propia,0
143,2023-01-21 11:07:00,255.16723164008806,retiro,Region_B,816,0,52,40760.99288456376,50718.85989846913,6,22,0,3,soltero,propia,0
144,2023-01-21 15:23:00,11.040420020604808,retiro,Region_A,823,5,75,66067.55961472045,64702.14713669035,10,10,2,3,soltero,otro,0
145,2023-01-03 12:27:00,13.782310643991774,retiro,Region_A,638,1,27,71201.49200002561,59944.87701426715,7,7,5,4,soltero,otro,0
146,2023-01-19 00:19:00,81.42008731930189,transferencia,Region_D,618,2,76,43772.30729676126,89766.78803443768,1,15,1,4,casado,alquilada,0
147,2023-01-30 19:41:00,224.40583730538378,retiro,Region_B,410,4,38,50016.060128620804,91823.93204228222,2,6,1,3,casado,propia,0
148,2023-01-16 03:54:00,366.3190519442873,solicitud_credito,Region_D,772,7,60,63270.15290311014,62214.04767646187,2,28,1,2,viudo,propia,0
149,2023-01-13 12:47:00,4.736619170662166,transferencia,Region_B,316,1,60,42331.448038403665,64226.14795063648,0,8,1,3,soltero,alquilada,0
150,2023-01-19 03:05:00,43.97058134633917,transferencia,Region_D,519,2,18,68116.62819090333,12982.017257983269,8,14,1,2,casado,otro,0
151,2023-01-08 02:30:00,23.939267448290302,solicitud_credito,Region_D,786,2,63,41011.14712735363,39333.77503010165,7,7,1,3,divorciado,otro,0
152,2023-01-11 21:47:00,141.0447100086373,pago,Region_C,604,2,48,69924.51743150849,33012.6935854648,2,0,1,1,viudo,otro,0
153,2023-01-16 06:16:00,102.21899163019341,retiro,Region_A,816,2,80,36356.889555852154,34582.657456920155,4,26,4,4,divorciado,otro,0
154,2023-01-17 12:16:00,12.77061426536434,transferencia,Region_D,428,4,63,96861.91493170103,72738.57884436588,3,9,2,2,casado,otro,0
155,2023-01-21 21:20:00,66.07227161463489,retiro,Region_C,323,3,40,48911.78755051267,48799.47949086554,10,1,4,4,divorciado,propia,0
156,2023-01-01 21:46:00,115.65821026659,retiro,Region_D,840,7,35,62884.204844752065,50255.82280458768,8,29,3,3,divorciado,otro,0
157,2023-01-05 16:56:00,150.96169846583354,solicitud_credito,Region_D,431,2,79,75898.07081169382,24772.109779562168,4,28,1,4,viudo,propia,0
158,2023-01-19 22:11:00,2.0256494257897244,solicitud_credito,Region_C,620,4,44,48530.01556927186,16715.15552901127,10,22,2,4,viudo,familiar,0
159,2023-01-07 13:54:00,221.15529051615766,solicitud_credito,Region_C,796,4,61,56946.57623806651,40936.43428747163,1,15,0,1,viudo,familiar,0
160,2023-01-28 23:34:00,84.23002627587908,retiro,Region_C,681,6,63,52544.347348500094,5771.388702229352,10,8,0,1,viudo,propia,0
161,2023-01-16 05:59:00,167.08300019030017,transferencia,Region_A,515,2,78,93142.81180986098,15951.33285137147,1,18,1,1,divorciado,otro,0
162,2023-01-04 20:10:00,164.99371986879962,transferencia,Region_A,842,3,29,84289.7004947075,81854.82844893706,0,11,3,1,casado,alquilada,0
163,2023-01-21 08:40:00,21.053914695757726,pago,Region_D,310,3,33,36775.32328928412,43741.11699285532,4,2,2,2,casado,familiar,0
164,2023-01-03 14:28:00,11.672722850230222,retiro,Region_A,381,1,38,30044.871692601475,97636.99082572674,4,12,6,3,divorciado,familiar,0
165,2023-01-23 04:48:00,127.75736655010328,pago,Region_C,455,1,81,61548.45095645639,436.28569156344275,2,17,3,4,casado,alquilada,0
166,2023-01-23 14:42:00,17.010874034801393,pago,Region_B,465,1,30,53294.38281398127,92057.63930633964,4,16,2,4,soltero,familiar,0
167,2023-01-10 09:45:00,189.6703347722691,pago,Region_A,507,0,67,82945.42896186927,65244.05898261112,7,4,2,1,viudo,otro,0
168,2023-01-01 11:03:00,129.5318958764941,pago,Region_C,323,0,25,58965.25716161707,62312.691082246354,2,16,2,2,soltero,otro,0
169,2023-01-25 03:26:00,184.405556750969,pago,Region_C,631,5,73,51011.82075509163,84037.58088214906,3,5,1,2,divorciado,otro,0
170,2023-01-06 13:14:00,35.52654799989323,retiro,Region_C,818,4,73,31842.394917369937,62678.725258437014,2,0,2,2,casado,propia,0
171,2023-01-20 11:01:00,38.0672101158308,solicitud_credito,Region_C,810,0,25,41005.48633040019,3485.570762531043,5,9,2,4,soltero,alquilada,0
172,2023-01-22 01:03:00,111.23711786132895,pago,Region_D,540,4,62,36758.24166819884,90531.77833714931,20,5,5,4,viudo,otro,0
173,2023-01-03 07:04:00,3.19509949650493,transferencia,Region_C,480,1,41,43230.36458785949,87317.00586655556,6,19,1,4,casado,otro,0
174,2023-01-28 07:53:00,129.6441760801183,retiro,Region_C,592,3,38,43238.31809216774,51993.99605991852,1,9,1,2,soltero,familiar,0
175,2023-01-13 06:35:00,180.65669865146324,pago,Region_D,382,2,30,42935.124767990535,12595.062325511419,6,5,1,3,casado,propia,0
176,2023-01-17 14:58:00,53.64231060761898,transferencia,Region_A,389,3,67,50964.01057564526,82146.9525931766,0,17,4,3,soltero,propia,0
177,2023-01-17 10:24:00,144.76542810777497,pago,Region_B,738,4,68,61846.25026503048,52976.78825416459,9,21,3,3,casado,alquilada,0
178,2023-01-02 03:16:00,19.190038804414772,solicitud_credito,Region_D,842,2,21,70138.56214184314,32623.965163472378,9,20,4,1,casado,alquilada,0
179,2023-01-14 22:40:00,38.899212649297354,retiro,Region_D,492,3,77,66049.58267986783,99330.97484911738,1,9,1,1,soltero,familiar,0
180,2023-01-20 06:08:00,366.14574228696785,solicitud_credito,Region_A,787,1,85,21862.887482334492,16451.537875762846,10,5,1,3,soltero,otro,0
181,2023-01-19 13:36:00,429.241802781688,transferencia,Region_A,648,0,38,25754.11178839503,16458.895309332278,1,23,3,3,divorciado,otro,0
182,2023-01-20 21:53:00,71.86805051438857,pago,Region_C,388,2,51,43216.20676506231,59969.882823512555,7,24,1,2,casado,propia,0
183,2023-01-27 01:05:00,272.2196664094568,solicitud_credito,Region_A,422,1,90,27950.409236390875,26698.021229714675,2,26,2,1,soltero,otro,0
184,2023-01-01 14:14:00,73.96743311965591,solicitud_credito,Region_B,673,4,42,58933.26785302225,41208.39671116676,4,17,2,3,divorciado,familiar,0
185,2023-01-18 01:08:00,34.472961454809756,pago,Region_D,346,2,21,49655.20027116845,24053.919316090167,3,22,0,4,casado,alquilada,0
186,2023-01-27 19:43:00,31.047218966968455,retiro,Region_B,732,3,81,52651.5954792892,78262.12473850709,4,13,2,4,soltero,familiar,0
187,2023-01-06 03:12:00,265.2223499646482,transferencia,Region_C,445,5,42,227876.84083520222,27464.50044740205,6,11,1,3,soltero,alquilada,0
188,2023-01-15 23:16:00,18.928138709095034,retiro,Region_B,302,1,57,43328.30307111697,842210.2098170015,8,16,2,2,divorciado,familiar,0
189,2023-01-27 18:39:00,86.662585086159,transferencia,Region_C,829,4,24,27792.109604156314,73593.24582733556,1,24,1,1,divorciado,otro,0
190,2023-01-19 06:29:00,81.08616217101047,transferencia,Region_B,613,6,62,46215.46718253281,29777.904509606,7,2,2,1,casado,familiar,0
